EconomyPrice,BusinessPrice,FirstClassPrice,DepartureCountry,DestinationCountry,DepartureDate,DepartureAirport,ArrivalAirport
300,700,1200,USA,UK,10/15/2024,JFK,LHR
350,800,1300,France,Germany,11/5/2024,CDG,FRA
650,900,1400,Italy,Canada,12/20/2024,FCO,YYZ
280,650,1150,Japan,Brazil,9/10/2024,HND,GRU
320,720,1250,Australia,India,8/12/2024,SYD,DEL
290,680,1180,Germany,France,7/18/2024,FRA,CDG
310,760,1270,UK,USA,5/22/2024,LHR,JFK
0,810,1320,Brazil,Italy,4/9/2024,GRU,FCO
370,880,1350,Canada,Australia,6/15/2024,YYZ,SYD
350,650,1210,India,Japan,3/,DEL,HND
330,770,1260,France,UK,2/12/2024,CDG,LHR
360,850,1370,Italy,Germany,1/22/2024,FCO,FRA
295,700,1200,Australia,USA,12/5/2024,SYD,JFK
325,790,1290,Germany,Canada,11/9/2024,FRA,YYZ
650,830,1330,Japan,France,10/30/2024,HND,CDG
305,720,1190,Brazil,India,9/18/2024,GRU,DEL
350,780,1280,Canada,UK,8/14/2024,YYZ,LHR
375,890,1390,USA,Australia,7/25/2024,JFK,SYD
290,700,1220,India,Italy,6/11/2024,DEL,FCO
310,760,1300,France,Brazil,5/7/2024,CDG,GRU
340,750,1250,Spain,USA,11/15/2024,BCN,JFK
290,680,1150,Italy,Australia,12/10/2024,FCO,SYD
310,700,1200,Japan,Canada,10/5/2024,HND,YYZ
320,730,1300,UK,India,9/25/2024,LHR,DEL
300,690,1180,France,Japan,8/14/2024,CDG,HND
355,820,1350,Australia,UK,7/30/2024,SYD,LHR
310,710,1220,Canada,Spain,6/20/2024,YYZ,BCN
330,760,1280,Brazil,USA,5/15/2024,GRU,JFK
325,740,1250,India,Italy,4/10/2024,DEL,FCO
340,790,1300,USA,France,3/5/2024,JFK,CDG
305,720,1200,South Africa,Australia,2/20/2024,JNB,SYD
315,780,1250,China,Germany,1/10/2024,PEK,FRA
295,710,1190,Brazil,UK,12/5/2023,GRU,LHR
335,800,1320,USA,South Africa,11/25/2023,JFK,JNB
320,740,1270,Canada,France,10/15/2023,YYZ,CDG
305,700,1210,Italy,China,9/5/2023,FCO,PEK
330,770,1300,Spain,Japan,8/20/2023,BCN,HND
310,750,1250,Germany,USA,7/15/2023,FRA,JFK
340,820,1350,Australia,Italy,6/10/2023,SYD,FCO
340,690,1190,UK,Canada,11/5/2024,LHR,YYZ
300,790,2000,USA,Japan,11/5/2024,LHR,YYZ
